"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_04 - Registration fails when password and confirm password do not match","7840","test_tc_04__registration_fails_when_password_and_confirm_password_do_not_match","tests.stepDefinations","2026-07-02","passed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_02 - Registration fails when username already exists","8368","test_tc_02__registration_fails_when_username_already_exists","tests.stepDefinations","2026-07-02","passed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_20 - Registration with special characters in Phone Number","7942","test_tc_20__registration_with_special_characters_in_phone_number","tests.stepDefinations","2026-07-02","failed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_23 - Registration with special characters in all fields simultaneously","7416","test_tc_23__registration_with_special_characters_in_all_fields_simultaneously","tests.stepDefinations","2026-07-02","passed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_05 - Registration with spaces only as username","7917","test_tc_05__registration_with_spaces_only_as_username","tests.stepDefinations","2026-07-02","failed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_21 - Registration with special characters in SSN","7450","test_tc_21__registration_with_special_characters_in_ssn","tests.stepDefinations","2026-07-02","failed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_18 - Registration with special characters in State","7477","test_tc_18__registration_with_special_characters_in_state","tests.stepDefinations","2026-07-02","failed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_06 - Successful login with valid credentials","3733","test_tc_06__successful_login_with_valid_credentials","tests.stepDefinations","2026-07-02","passed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_03 - Registration fails when all fields are left empty","4135","test_tc_03__registration_fails_when_all_fields_are_left_empty","tests.stepDefinations","2026-07-02","passed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_19 - Registration with special characters in Zip Code","7943","test_tc_19__registration_with_special_characters_in_zip_code","tests.stepDefinations","2026-07-02","failed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_14 - Registration with special characters in First Name","7899","test_tc_14__registration_with_special_characters_in_first_name","tests.stepDefinations","2026-07-02","failed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_22 - Registration with special characters in Username","7921","test_tc_22__registration_with_special_characters_in_username","tests.stepDefinations","2026-07-02","passed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_15 - Registration with special characters in Last Name","7865","test_tc_15__registration_with_special_characters_in_last_name","tests.stepDefinations","2026-07-02","failed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_11 - Login fails when username is empty but password is entered","2696","test_tc_11__login_fails_when_username_is_empty_but_password_is_entered","tests.stepDefinations","2026-07-02","passed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_08 - Login fails with invalid username and password","3619","test_tc_08__login_fails_with_invalid_username_and_password","tests.stepDefinations","2026-07-02","passed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_01 - Successful registration with valid details","9583","test_tc_01__successful_registration_with_valid_details","tests.stepDefinations","2026-07-02","passed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_16 - Registration with special characters in Address","7397","test_tc_16__registration_with_special_characters_in_address","tests.stepDefinations","2026-07-02","failed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_17 - Registration with special characters in City","7367","test_tc_17__registration_with_special_characters_in_city","tests.stepDefinations","2026-07-02","failed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_12 - Complete register then navigate to Account Overview and check balance","8190","test_tc_12__complete_register_then_navigate_to_account_overview_and_check_balance","tests.stepDefinations","2026-07-02","passed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_09 - Login fails when both fields are empty","2890","test_tc_09__login_fails_when_both_fields_are_empty","tests.stepDefinations","2026-07-02","passed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_13 - Register then logout then login again and verify balance","9913","test_tc_13__register_then_logout_then_login_again_and_verify_balance","tests.stepDefinations","2026-07-02","passed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_07 - Account balance is displayed and printed after login","3903","test_tc_07__account_balance_is_displayed_and_printed_after_login","tests.stepDefinations","2026-07-02","passed","2026-07-02","","test_parabank_steps","",""
"C:\Users\archa\Downloads\New folder (2)\parabank-automation-suite\tests\features\parabank_signup_login.feature: TC_10 - Login fails with valid username but wrong password","2979","test_tc_10__login_fails_with_valid_username_but_wrong_password","tests.stepDefinations","2026-07-02","passed","2026-07-02","","test_parabank_steps","",""
